project_name,objectid,province_territory,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
Adelaide Wind Energy Centre,3024,Ontario,37,2014,59.94,AWE9,9/37,1620.0,Neither,100.0,False,80.0,False,43.0216342782741,-81.658606,GE,GE 1.6MW
Aeolus Wind Farm,4457,Prince Edward Island,1,2003,3.0,AEW1,1/1,3000.0,Neither,90.0,False,80.0,False,47.0368343,-64.0050674,Vestas,V90
Amherst Community Wind,1740,Nova Scotia,2,2016,6.0,AMC2,2/2,3000.0,Neither,92.0,False,98.0,False,45.8344028591863,-64.1442446837613,Enercon,E-92/3000
Amherst I Wind Farm,1633,Nova Scotia,15,2012,31.5,AMW9,9/15,2100.0,Neither,97.0,False,90.0,False,45.8428680096785,-64.2411613724856,Suzlon,S97/2100
Amherst Island Wind Project,4191,Ontario,27,2018,75.0,AIW9,9/27,3200.0,Neither,113.0,False,99.5,False,44.1789376409666,-76.6343943477802,Siemens,SWT 3.2-113
Ardenville Wind Farm,319,Alberta,23,2010,69.0,AWF9,9/23,3000.0,Neither,90.0,False,80.0,False,49.5896999956816,-113.413736956934,Vestas,V90/3000
Armow Wind Project,3585,Ontario,91,2015,180.0,AMW91,91/91,1978.0,Derated,101.0,False,99.5,False,44.2439800160779,-81.3969110038251,Siemens,SWT 2.3-101
Arthur,2353,Ontario,5,2010,10.0,ART5,5/5,2000.0,Neither,70.0,False,85.0,False,43.8494049029495,-80.5144625711064,Enercon,E-70/2000
Auld's Mountain,1660,Nova Scotia,2,2015,4.6,AUL2,2/2,2300.0,Neither,92.0,False,98.0,False,45.5944778234816,-62.3710996429226,Enercon,E-92/2300
Avondale,1741,Nova Scotia,1,2016,1.6,ADL1,1/1,1600.0,Neither,92.0,False,85.0,False,45.632541,-62.278397,Enercon,E-92
Baddeck,1742,Nova Scotia,1,2016,1.7,BDK1,1/1,1700.0,Derated,100.0,False,100.0,False,46.146833,-60.696197,Vestas,V100
Baie-des-Sables,4787,Quebec,73,2006,109.5,BDS9,9/73,1500.0,Neither,77.0,False,80.0,False,48.7427876888215,-67.7870745772052,GE,GE 1.5SLE
Barrachois,1662,Nova Scotia,2,2015,4.6,BAR2,2/2,2300.0,Neither,92.0,False,98.0,False,46.1583913137698,-60.4027497672333,Enercon,E-92/2300
Barrington,1664,Nova Scotia,2,2015,3.2,BAT2,2/2,1600.0,Neither,82.5,False,80.0,False,43.522735,-65.661655,GE,GE 1.6-82.5
Bateston,1665,Nova Scotia,1,2015,2.35,BAN1,1/1,2350.0,Neither,92.0,False,98.0,False,45.993053,-59.907585,Enercon,E-92
Bear Mountain,934,British Columbia,34,2009,102.0,BEA9,9/34,3000.0,Neither,82.0,False,78.0,False,55.7242355429447,-120.39965583782,Enercon,E-82/3000
Belle River,4154,Ontario,40,2017,100.0,BEL9,9/40,2500.0,Derated,113.0,False,99.5,False,42.2661855332961,-82.5694735697304,Siemens,SWT 3.2-113
Bisnett Line (Thames River I),2133,Ontario,45,2009,40.0,THM5,5/45,2000.0,Neither,82.0,False,78.0,False,42.2827466245291,-81.9857317975001,Enercon,E-82/2000
Black Pond,1666,Nova Scotia,1,2015,1.99,BPO1,1/1,1990.0,Neither,100.0,False,100.0,False,43.750934,-66.020473,Vestas,V100
Blackspring Ridge Wind,766,Alberta,166,2014,298.8,BRW99,99/166,1800.0,Neither,100.0,False,80.0,False,50.2064336251675,-112.759072721589,Vestas,V100 1.8
Blue Trail,296,Alberta,22,2009,66.0,BLT9,9/22,3000.0,Neither,90.0,False,80.0,False,49.6681951252573,-113.424466445592,Vestas,V90/3000
Bluewater Wind Farm,3061,Ontario,37,2014,59.2,BLU9,9/37,1600.0,Neither,100.0,False,80.0,False,43.5379979590696,-81.5776407633598,GE,GE 1.6-100
Bornish Wind Energy Centre,3106,Ontario,45,2014,72.9,BOR9,9/45,1600.0,Neither,100.0,False,80.0,False,43.1380109556163,-81.6367196722053,GE,GE 1.6-100
Bow Lake Wind Project,3621,Ontario,36,2015,58.32,BOL9,9/36,1620.0,Uprated,100.0,False,96.0,False,47.2363154456426,-84.4854876355539,GE,GE 1.6-100
Box Springs Wind Project,769,Alberta,3,2014,6.0,BSW3,3/3,2000.0,Neither,90.0,False,78.0,False,50.1050257363175,-110.716296007942,Gamesa,G90/2000
Brenton,1743,Nova Scotia,1,2016,1.99,BRN1,1/1,1990.0,Neither,100.0,False,95.0,False,43.973393,-66.08307,Vestas,V100
Brookfield,1477,Nova Scotia,1,2005,0.6,BRD1,1/1,600.0,Neither,48.0,False,50.0,True,45.267193,-63.251702,Turbowinds,T600-48
Bull Creek Wind Farm,806,Alberta,17,2015,29.2,BCW9,9/17,1700.0,Neither,103.0,False,80.0,False,52.5186967958391,-110.007911418598,GE,GE 1.7-103
CAW Wind Turbine,2758,Ontario,1,2013,0.8,CAW1,1/1,800.0,Neither,48.0,False,76.0,False,44.4272940448135,-81.4096471676214,Enercon,E-48/800
Cap-Pelé,1439,New Brunswick,1,2018,2.35,CAP1,1/1,2350.0,Neither,92.0,False,98.0,False,46.1796214,-64.2385324,Enercon,E-92
Cape Scott,1117,British Columbia,55,2014,99.0,CSC9,9/55,1800.0,Neither,100.0,False,80.0,False,50.793993,-127.994478,Vestas,V100
Caribou Wind Park,1390,New Brunswick,33,2009,99.0,CWP9,9/33,3000.0,Neither,90.0,False,80.0,False,47.511,-66.414,Vestas,V90
Carleton,4927,Quebec,73,2008,109.5,CAR9,9/73,1500.0,Neither,77.0,False,80.0,False,48.250259,-66.1029989999999,GE,GE 1.5SLE
Castle River Wind Farm,865,Alberta,60,2001,44.0,CRW9,9/60,660.0,Neither,47.0,False,50.0,False,49.521443370281,-114.025601500938,Vestas,V47/660
Castle Rock Ridge,517,Alberta,33,2012,75.9,CRR9,9/33,2310.0,Neither,71.0,False,54.0,False,49.5811405059408,-113.934367302359,Enercon,E-70 E4
Cedar Point,3667,Ontario,46,2015,100.0,CED9,9/46,2300.0,Neither,113.0,False,99.5,False,43.1681513582753,-81.9425738400795,Siemens,SWT 2.3-113
Centennial,6643,Saskatchewan,83,2006,149.4,CTE9,9/83,1800.0,Neither,80.0,False,67.0,False,50.1776298867676,-107.394144271476,Vestas,V80
Chatham,2512,Ontario,44,2011,101.2,CHA9,9/44,2300.0,Neither,101.0,False,80.0,False,42.2549765928495,-82.2469343777533,Siemens,SWT 2.3-101
Chebucto Pockwock,1647,Nova Scotia,5,2014,10.0,CHE5,5/5,2000.0,Neither,100.0,False,95.0,False,44.7777763367086,-63.8274017489012,Vestas,V100/2000
Chebucto Terence Bay,1755,Nova Scotia,3,2017,7.05,CHT3,3/3,2350.0,Neither,92.0,False,85.0,False,44.508192,-63.7102699999999,Enercon,E-92/2350
Cheticamp,1667,Nova Scotia,1,2015,0.9,CHP1,1/1,900.0,Neither,44.0,False,55.0,True,46.58231,-60.974132,Enercon,E-44
Chin Chute,225,Alberta,20,2006,30.0,CHC9,9/20,1500.0,Neither,77.0,False,65.0,False,49.6931907615636,-112.298564655445,GE,GE 1.5SLE
Clear Creek,2055,Ontario,6,2008,9.9,CCF6,6/6,1650.0,Neither,82.0,False,90.0,True,42.6005691813157,-80.5924826853321,Vestas,V82/1650
Comber Wind Farm,2584,Ontario,72,2011,165.6,COM9,9/72,2300.0,Neither,101.0,False,80.0,False,42.2553545952805,-82.4556991222534,Siemens,SWT 2.3-101
Conestogo,2724,Ontario,10,2012,22.92,CGO9,9/10,2300.0,Neither,101.0,False,80.0,False,43.7977439245803,-80.5814783851484,Siemens,SWT 2.3-101
Cowessess,6660,Saskatchewan,1,2013,0.8,COW1,1/1,800.0,Neither,52.9,False,73.0,False,50.416975,-104.464195,Enercon,E-53
Cowley North,21,Alberta,15,2001,19.5,CON9,9/15,1300.0,Neither,60.0,False,46.0,False,49.5687585769995,-114.103625122009,Nordex,N60/1300
Creignishrear,1637,Nova Scotia,1,2013,2.0,CRE1,1/1,2000.0,Neither,82.0,False,78.0,True,45.727666,-61.42591,Enercon,E-82
