province_territory,objectid,project_size,commissioning_date,total_project_capacity_mw,turbine_rated_capacity_k_w,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude
Alberta,9525,900,48181,1500.48,41640.0,1835.0,0,1652.0,0,1200.6422885437273,-2714.7496717944323
British Columbia,9772,292,18126,712.7,24050.0,938.0,0,807.0,0,477.2042750154036,-1097.386416451345
Manitoba,2577,133,4023,258.45,3950.0,183.0,0,160.0,0,98.60212788483369,-195.8514892210022
New Brunswick,8476,229,12074,648.1,16150.0,565.0,0,535.0,0,279.03387039999996,-389.80499999999995
Newfoundland and Labrador,5848,27,8031,54.69,6165.0,210.5,0,209.5,0,189.012702,-223.177446
Northwest Territories,1475,4,2012,9.2,2300.0,71.0,0,64.0,0,64.49412,-110.33456
Nova Scotia,113867,332,138885,622.1700000000003,124130.0,5754.4,0,5745.0,15,3122.5478879709517,-4352.951198981704
Ontario,288297,3018,193122,5695.249999999999,186579.0,8667.3,1,8318.5,3,4181.189537034868,-7792.591771838795
Prince Edward Island,40455,120,18067,214.12,20120.0,743.0,0,680.0,0,421.2913136000001,-572.4843078
Quebec,221992,2128,80486,4201.95,83510.0,3455.5,0,3418.0,0,1928.7036305512627,-2735.6170779828503
Saskatchewan,46568,153,14068,241.38000000000002,9870.0,503.9,0,499.5,0,351.7039827368065,-740.4628512228891
Yukon,6698,2,2000,0.81,660.0,47.0,0,37.0,0,60.748818,-135.229274
