,objectid,province_territory,project_name,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
0,1,Alberta,Optimist Wind Energy,2,1993,0.9,OWE1,1/2,150.0,Neither,23.0,False,30.0,False,49.525354,-114.054796,Bonus,AN 150/30
1,2,Alberta,Castle River Wind Farm,60,1997,44.0,CRW1,1/60,600.0,Neither,44.0,False,40.0,False,49.5126406422048,-114.035711741286,Vestas,V44/600
2,3,Alberta,Waterton Wind Turbines,6,1998,3.78,WWT1,1/6,600.0,Neither,44.0,False,50.0,False,49.2330687371414,-113.654899041571,Vestas,V44/600
3,4,Alberta,Waterton Wind Turbines,6,1998,3.78,WWT2,2/6,600.0,Neither,44.0,False,50.0,False,49.2330343842084,-113.630213392164,Vestas,V44/600
4,5,Alberta,Waterton Wind Turbines,6,1998,3.78,WWT3,3/6,600.0,Neither,44.0,False,50.0,False,49.2175471922324,-113.680160622281,Vestas,V44/600
5,6,Alberta,Waterton Wind Turbines,6,2000,3.78,WWT4,4/6,660.0,Neither,47.0,False,50.0,False,49.2177254222235,-113.657905842274,Vestas,V47/660
6,7,Alberta,Cowley North,15,2001,19.5,CON1,1/15,1300.0,Neither,60.0,False,46.0,False,49.5687585769995,-114.110351893935,Nordex,N60/1300
7,8,Alberta,Cowley North,15,2001,19.5,CON2,2/15,1300.0,Neither,60.0,False,46.0,False,49.56787880246,-114.109682456433,Nordex,N60/1300
8,9,Alberta,Cowley North,15,2001,19.5,CON3,3/15,1300.0,Neither,60.0,False,46.0,False,49.5669590502259,-114.110309019836,Nordex,N60/1300
9,10,Alberta,Cowley North,15,2001,19.5,CON4,4/15,1300.0,Neither,60.0,False,46.0,False,49.5659731714606,-114.110513350773,Nordex,N60/1300
10,11,Alberta,Cowley North,15,2001,19.5,CON5,5/15,1300.0,Neither,60.0,False,46.0,False,49.5649545057313,-114.110403738996,Nordex,N60/1300
11,12,Alberta,Cowley North,15,2001,19.5,CON6,6/15,1300.0,Neither,60.0,False,46.0,False,49.563936622438,-114.110089240982,Nordex,N60/1300
12,13,Alberta,Cowley North,15,2001,19.5,CON7,7/15,1300.0,Neither,60.0,False,46.0,False,49.563161101426,-114.109223252058,Nordex,N60/1300
13,14,Alberta,Cowley North,15,2001,19.5,CON8,8/15,1300.0,Neither,60.0,False,46.0,False,49.5623602316361,-114.108317002454,Nordex,N60/1300
14,15,Alberta,Cowley North,15,2001,19.5,CON9,9/15,1300.0,Neither,60.0,False,46.0,False,49.5616853835598,-114.107190813353,Nordex,N60/1300
15,16,Alberta,Cowley North,15,2001,19.5,CON10,10/15,1300.0,Neither,60.0,False,46.0,False,49.5609111156073,-114.106101866521,Nordex,N60/1300
16,17,Alberta,Cowley North,15,2001,19.5,CON11,11/15,1300.0,Neither,60.0,False,46.0,False,49.559961907857,-114.105429692414,Nordex,N60/1300
17,18,Alberta,Cowley North,15,2001,19.5,CON12,12/15,1300.0,Neither,60.0,False,46.0,False,49.5590049675234,-114.105125774676,Nordex,N60/1300
18,19,Alberta,Cowley North,15,2001,19.5,CON13,13/15,1300.0,Neither,60.0,False,46.0,False,49.5580106061721,-114.10470406335,Nordex,N60/1300
19,20,Alberta,Cowley North,15,2001,19.5,CON14,14/15,1300.0,Neither,60.0,False,46.0,False,49.5571088719307,-114.104412767269,Nordex,N60/1300
20,21,Alberta,Cowley North,15,2001,19.5,CON15,15/15,1300.0,Neither,60.0,False,46.0,False,49.5561596578603,-114.103625122009,Nordex,N60/1300
21,22,Alberta,Lundbreck Wind Farm,1,2001,19.5,LWF1,1/1,600.0,Neither,40.0,False,48.0,False,49.58307,-114.215968,Enercon,E-40/600
22,23,Alberta,McBride Lake,115,2001,75.0,MBL1,1/115,660.0,Neither,50.0,False,47.0,False,49.5828658036891,-113.45103812924,Vestas,V47/660
23,24,Alberta,Sinnott Wind Farm,5,2001,6.5,SWF1,1/5,1300.0,Neither,60.0,False,60.0,False,49.5453945267514,-113.970445050417,Nordex,N60/1300
24,25,Alberta,Sinnott Wind Farm,5,2001,6.5,SWF2,2/5,1300.0,Neither,60.0,False,60.0,False,49.5350229104499,-113.954955462634,Nordex,N60/1300
25,26,Alberta,Sinnott Wind Farm,5,2001,6.5,SWF3,3/5,1300.0,Neither,60.0,False,60.0,False,49.5321907619122,-113.977525966275,Nordex,N60/1300
26,27,Alberta,Sinnott Wind Farm,5,2001,6.5,SWF4,4/5,1300.0,Neither,60.0,False,60.0,False,49.5319521113105,-114.002295551149,Nordex,N60/1300
27,28,Alberta,Sinnott Wind Farm,5,2001,6.5,SWF5,5/5,1300.0,Neither,60.0,False,60.0,False,49.5451897479078,-113.997795213736,Nordex,N60/1300
28,29,Alberta,Waterton Wind Turbines,6,2001,3.78,WWT5,5/6,660.0,Neither,47.0,False,50.0,False,49.1897471063985,-113.680681968619,Vestas,V47/660
29,30,Alberta,Summerview,61,2002,136.2,SVW1,1/61,1800.0,Neither,80.0,False,65.0,False,49.5828457749616,-113.79132358495,Vestas,V80/1800
30,31,Alberta,Waterton Wind Turbines,6,2002,3.78,WWT6,6/6,660.0,Neither,47.0,False,50.0,False,49.1904597052264,-113.640544532818,Vestas,V47/660
31,32,Alberta,McBride Lake,115,2003,75.0,MBL2,2/115,660.0,Neither,50.0,False,47.0,False,49.6271284659032,-113.46770893789,Vestas,V47/660
32,33,Alberta,McBride Lake,115,2003,75.0,MBL3,3/115,660.0,Neither,50.0,False,47.0,False,49.6262465987286,-113.466388219537,Vestas,V47/660
33,34,Alberta,McBride Lake,115,2003,75.0,MBL4,4/115,660.0,Neither,50.0,False,47.0,False,49.6252487665541,-113.465158722153,Vestas,V47/660
34,35,Alberta,McBride Lake,115,2003,75.0,MBL5,5/115,660.0,Neither,50.0,False,47.0,False,49.6242021183593,-113.463953051352,Vestas,V47/660
35,36,Alberta,McBride Lake,115,2003,75.0,MBL6,6/115,660.0,Neither,50.0,False,47.0,False,49.6232600382777,-113.462693227578,Vestas,V47/660
36,37,Alberta,McBride Lake,115,2003,75.0,MBL7,7/115,660.0,Neither,50.0,False,47.0,False,49.6221721418911,-113.461478998449,Vestas,V47/660
37,38,Alberta,McBride Lake,115,2003,75.0,MBL8,8/115,660.0,Neither,50.0,False,47.0,False,49.6210472620003,-113.460488697444,Vestas,V47/660
38,39,Alberta,McBride Lake,115,2003,75.0,MBL9,9/115,660.0,Neither,50.0,False,47.0,False,49.6270662097467,-113.477080103505,Vestas,V47/660
39,40,Alberta,McBride Lake,115,2003,75.0,MBL10,10/115,660.0,Neither,50.0,False,47.0,False,49.6260709865301,-113.476057108796,Vestas,V47/660
40,41,Alberta,McBride Lake,115,2003,75.0,MBL11,11/115,660.0,Neither,50.0,False,47.0,False,49.6247956213121,-113.474915979201,Vestas,V47/660
41,42,Alberta,McBride Lake,115,2003,75.0,MBL12,12/115,660.0,Neither,50.0,False,47.0,False,49.623392844996,-113.473741971487,Vestas,V47/660
42,43,Alberta,McBride Lake,115,2003,75.0,MBL13,13/115,660.0,Neither,50.0,False,47.0,False,49.6225748200083,-113.472984440294,Vestas,V47/660
43,44,Alberta,McBride Lake,115,2003,75.0,MBL14,14/115,660.0,Neither,50.0,False,47.0,False,49.6217102818549,-113.472278712205,Vestas,V47/660
44,45,Alberta,McBride Lake,115,2003,75.0,MBL15,15/115,660.0,Neither,50.0,False,47.0,False,49.6206494858921,-113.471381533915,Vestas,V47/660
45,46,Alberta,McBride Lake,115,2003,75.0,MBL16,16/115,660.0,Neither,50.0,False,47.0,False,49.619584296706,-113.469565880698,Vestas,V47/660
46,47,Alberta,McBride Lake,115,2003,75.0,MBL17,17/115,660.0,Neither,50.0,False,47.0,False,49.6185063748667,-113.467641956489,Vestas,V47/660
47,48,Alberta,McBride Lake,115,2003,75.0,MBL18,18/115,660.0,Neither,50.0,False,47.0,False,49.617917680728,-113.466029573272,Vestas,V47/660
48,49,Alberta,McBride Lake,115,2003,75.0,MBL19,19/115,660.0,Neither,50.0,False,47.0,False,49.6174458075003,-113.464314297576,Vestas,V47/660
49,50,Alberta,McBride Lake,115,2003,75.0,MBL20,20/115,660.0,Neither,50.0,False,47.0,False,49.6248519128548,-113.483993398044,Vestas,V47/660
50,51,Alberta,McBride Lake,115,2003,75.0,MBL21,21/115,660.0,Neither,50.0,False,47.0,False,49.6242141311415,-113.48210607886,Vestas,V47/660
51,52,Alberta,McBride Lake,115,2003,75.0,MBL22,22/115,660.0,Neither,50.0,False,47.0,False,49.6235683776592,-113.48025330375,Vestas,V47/660
52,53,Alberta,McBride Lake,115,2003,75.0,MBL23,23/115,660.0,Neither,50.0,False,47.0,False,49.623753838283,-113.496740095307,Vestas,V47/660
53,54,Alberta,McBride Lake,115,2003,75.0,MBL24,24/115,660.0,Neither,50.0,False,47.0,False,49.6228955383823,-113.495283400943,Vestas,V47/660
54,55,Alberta,McBride Lake,115,2003,75.0,MBL25,25/115,660.0,Neither,50.0,False,47.0,False,49.6221661003622,-113.493736365256,Vestas,V47/660
55,56,Alberta,McBride Lake,115,2003,75.0,MBL26,26/115,660.0,Neither,50.0,False,47.0,False,49.6216014722955,-113.492002284809,Vestas,V47/660
56,57,Alberta,McBride Lake,115,2003,75.0,MBL27,27/115,660.0,Neither,50.0,False,47.0,False,49.6210771481143,-113.490304075874,Vestas,V47/660
57,58,Alberta,McBride Lake,115,2003,75.0,MBL28,28/115,660.0,Neither,50.0,False,47.0,False,49.6204285015488,-113.488460781667,Vestas,V47/660
58,59,Alberta,McBride Lake,115,2003,75.0,MBL29,29/115,660.0,Neither,50.0,False,47.0,False,49.6199086551579,-113.48671349626,Vestas,V47/660
59,60,Alberta,McBride Lake,115,2003,75.0,MBL30,30/115,660.0,Neither,50.0,False,47.0,False,49.6193018652113,-113.485042374063,Vestas,V47/660
60,61,Alberta,McBride Lake,115,2003,75.0,MBL31,31/115,660.0,Neither,50.0,False,47.0,False,49.6187284882731,-113.483257978687,Vestas,V47/660
61,62,Alberta,McBride Lake,115,2003,75.0,MBL32,32/115,660.0,Neither,50.0,False,47.0,False,49.6180954134897,-113.481395625995,Vestas,V47/660
62,63,Alberta,McBride Lake,115,2003,75.0,MBL33,33/115,660.0,Neither,50.0,False,47.0,False,49.6175595041212,-113.479732226972,Vestas,V47/660
63,64,Alberta,McBride Lake,115,2003,75.0,MBL34,34/115,660.0,Neither,50.0,False,47.0,False,49.6169537080249,-113.477907773943,Vestas,V47/660
64,65,Alberta,McBride Lake,115,2003,75.0,MBL35,35/115,660.0,Neither,50.0,False,47.0,False,49.61913195747,-113.501613931324,Vestas,V47/660
65,66,Alberta,McBride Lake,115,2003,75.0,MBL36,36/115,660.0,Neither,50.0,False,47.0,False,49.6181892536639,-113.500139084297,Vestas,V47/660
66,67,Alberta,McBride Lake,115,2003,75.0,MBL37,37/115,660.0,Neither,50.0,False,47.0,False,49.6172142300098,-113.498916102212,Vestas,V47/660
67,68,Alberta,McBride Lake,115,2003,75.0,MBL38,38/115,660.0,Neither,50.0,False,47.0,False,49.6162280530281,-113.497578855854,Vestas,V47/660
68,69,Alberta,McBride Lake,115,2003,75.0,MBL39,39/115,660.0,Neither,50.0,False,47.0,False,49.6153838672154,-113.496317175664,Vestas,V47/660
69,70,Alberta,McBride Lake,115,2003,75.0,MBL40,40/115,660.0,Neither,50.0,False,47.0,False,49.6147971453939,-113.494564777125,Vestas,V47/660
70,71,Alberta,McBride Lake,115,2003,75.0,MBL41,41/115,660.0,Neither,50.0,False,47.0,False,49.6142642839958,-113.492854688303,Vestas,V47/660
71,72,Alberta,McBride Lake,115,2003,75.0,MBL42,42/115,660.0,Neither,50.0,False,47.0,False,49.6137091385698,-113.491070459399,Vestas,V47/660
72,73,Alberta,McBride Lake,115,2003,75.0,MBL43,43/115,660.0,Neither,50.0,False,47.0,False,49.6130538875959,-113.489272818254,Vestas,V47/660
